District,Short_dis,SS,Lat,Long,Comm
Парфеньевский,Парф,Аносовский,58.525902,43.252399,по д. Аносово
Парфеньевский,Парф,Васиковский,58.424070,43.233532,по с. Васиковка
Парфеньевский,Парф,Задоринский,58.344216,43.341907,по д. Задорино
Парфеньевский,Парф,Крусановский,58.384813,43.423124,по д. Крусаново
Парфеньевский,Парф,Матвеевский,58.642206,43.484281,по с. Матвеево
Парфеньевский,Парф,Николо-Поломский,58.338387,43.389221,по пос. Николо-Полома
Парфеньевский,Парф,Парфеньевский,58.482698,43.407726,по с. Парфьеньево
Парфеньевский,Парф,Потрусовский,58.444744,43.678793,по с. Потрусово
Парфеньевский,Парф,Савинский,58.698574,43.339266,по д. Савино
Парфеньевский,Парф,Ширский,58.572211,43.540408,по с. Николо-Ширь
Поназыревский,Поназ,Гудковский,58.478407,46.463130,по д. Гудково
Поназыревский,Поназ,Ждановский,,,
Поназыревский,Поназ,Клюкинский,,,
Поназыревский,Поназ,Панинский,58.203865,46.187428,по д. Панино
Поназыревский,Поназ,Полдневица,58.652302,46.785113,
Поназыревский,Поназ,Поназыревский,58.354946,46.315618,
Поназыревский,Поназ,Хмелевский,58.542832,46.409411,
Поназыревский,Поназ,Якшанга,58.386898,45.952222,
Пыщугский,Пыщ,Верхнеспасский,58.719211,45.496166,по с. Верхнеспасское
Пыщугский,Пыщ,Воздвиженский,58.870252,45.867179,по д. Сергеевица
Пыщугский,Пыщ,Головинский,58.830134,45.487165,
Пыщугский,Пыщ,Михайловицкий,58.762851,45.650263,по с. Михайловица
Пыщугский,Пыщ,Носковский,59.065121,45.611599,по с. Носково
Пыщугский,Пыщ,Пыщугский,58.993007,45.547082,в состав входит Носковское сельское посление
Солигаличский,С-Гал,Бурдуковский,59.081447,42.611945,в состав входит Высоковское поселение
Солигаличский,С-Гал,Васильевский,59.296037,42.117485,по д. Васильево
Солигаличский,С-Гал,Верхне-Березовецкий,58.968762,41.997964,по с. Верхний Березовец
Солигаличский,С-Гал,Высоковский,59.130112,42.756304,по ур. Высоко
Солигаличский,С-Гал,Жилинский,58.897844,41.994955,по с. Жилино
Солигаличский,С-Гал,Корцовский,58.853541,42.001001,в состав входит Жилинское сельское поселние
Солигаличский,С-Гал,Куземинский,59.225249,42.506357,по д. Куземино
Солигаличский,С-Гал,Лосевский,58.925224,42.347157,
Солигаличский,С-Гал,Первомайский,59.012458,41.739591,в состав входит Верхне-Березовецкий сельсовет
Солигаличский,С-Гал,Солигаличский,59.171882,42.301128,в состав входят Васильевское и Куземинское поселения
Судиславский,С-Слав,Александровский,57.771907,41.720924,по с. Александрово
Судиславский,С-Слав,Воронский,58.047907,41.995422,в состав входит Свозовское поселение
Судиславский,С-Слав,Грудкинский,57.823454,41.551205,по д. Грудки
Судиславский,С-Слав,Долматовский,57.746761,41.416197,по д. Долматово
Судиславский,С-Слав,Залужский,57.975069,41.737893,по с. Залужье
Судиславский,С-Слав,Калинковский,57.802253,41.303450,по д. Калинки
Судиславский,С-Слав,Михайловский,57.893927,41.379878,по д. Михайловское
Судиславский,С-Слав,Расловский,57.787964,41.424480,"в состав входят Грудкинское, Долматовское, Калинковское, Михайловское сельские поселения"
Судиславский,С-Слав,Свозовский,58.070381,41.941891,по д. Свозово
Судиславский,С-Слав,Судиславский,57.916957,41.666181,
Судиславский,С-Слав,Шаховский,57.941577,41.527535,по с. Шахово
Сусанинский,Сус,Андреевский,58.154195,41.267930,
Сусанинский,Сус,Буяковский,58.198027,41.456882,в состав входит Григоровское с/п
Сусанинский,Сус,Головинский,58.248123,41.667573,по с. Головинское
Сусанинский,Сус,Григоровский,58.169639,41.487542,по д. Григорово
Сусанинский,Сус,Домославский,58.138520,41.400129,по д. Ломышки
Сусанинский,Сус,Исуповский,58.113137,41.772299,по с. Исупово
Сусанинский,Сус,Любимцевский,58.044520,41.507942,по с. Любимцево
Сусанинский,Сус,Починковский,58.028778,41.423806,по д. Починок
Сусанинский,Сус,Сумароковский,58.195143,41.850721,
Сусанинский,Сус,Сусанинский,58.147199,41.586033,по пгт Сусанино
Сусанинский,Сус,Ченцовский,58.076911,41.639402,
Сусанинский,Сус,Яхнобольский,58.217472,41.971796,по ур. Яхноболь
Чухломский,Чухл,Беловский,58.760391,42.519050,по д. Белово
Чухломский,Чухл,Гавриловский,58.831312,42.507237,по д. Гавриловское
Чухломский,Чухл,Краснонивский,58.844459,43.116295,по д. Красная Нива
Чухломский,Чухл,Нагорский,59.026675,42.803933,по д. Нагорское
Чухломский,Чухл,Ножкинский,58.871462,42.611550,
Чухломский,Чухл,Панкратовский,59.163765,43.486176,по д. Панкратово
Чухломский,Чухл,Петровский,58.668506,42.965513,
Чухломский,Чухл,Повалихинский,58.845562,42.962423,в состав входит Краснонивского с/п
Чухломский,Чухл,Серапихинский,58.679871,42.731996,по с. Серапиха
Чухломский,Чухл,Судайский,58.972552,43.221371,в состав входят Нагорское и Тормановское с/п
Чухломский,Чухл,Тормановский,59.105479,42.951822,по с. Торманово
Чухломский,Чухл,Чертовский,59.213026,43.146182,по д. Чертово (которая входит на данный момент в состав Шартановского с/п)
Чухломский,Чухл,Чухломский,58.689858,42.562196,"в состав входят Беловское с/п, с. Серапиха"
